"Community","Perspective_Profanity","probability_of_user_finding_comment_sexist"
"C",0.67,0.450455522229607
"C",0.68,0.4538160126513
"C",0.69,0.457180716661975
"C",0.7,0.460549332003076
"C",0.71,0.463921554992305
"C",0.72,0.467297080631948
"C",0.73,0.470675602718229
"C",0.74,0.474056813951594
"C",0.75,0.477440406047841
"C",0.76,0.480826069850023
"C",0.77,0.484213495441016
"C",0.78,0.487602372256697
"C",0.79,0.490992389199609
"C",0.8,0.494383234753056
"C",0.81,0.497774597095513
"C",0.82,0.501166164215288
"C",0.83,0.504557624025321
"C",0.84,0.507948664478048
"C",0.85,0.51133897368023
"C",0.86,0.514728240007668
"C",0.87,0.5181161522197
"C",0.88,0.521502399573406
"C",0.89,0.524886671937413
"C",0.9,0.52826865990524
"C",0.91,0.531648054908061
"C",0.92,0.535024549326827
"C",0.93,0.538397836603646
"C",0.94,0.541767611352343
"C",0.95,0.545133569468107
"C",0.96,0.548495408236155
"C",0.97,0.551852826439318
"C",0.98,0.555205524464482
"C",0.99,0.558553204407788
"B",0.01,0.341767027097054
"B",0.02,0.344825459991177
"B",0.03,0.347896796771437
"B",0.04,0.350980834869045
"B",0.05,0.354077367689273
"B",0.06,0.357186184651312
"B",0.07,0.360307071230684
"B",0.08,0.363439809004188
"B",0.09,0.366584175697383
"B",0.1,0.369739945234597
"B",0.11,0.372906887791454
"B",0.12,0.376084769849902
"B",0.13,0.379273354255719
"B",0.14,0.382472400278496
"B",0.15,0.385681663674055
"B",0.16,0.388900896749288
"B",0.17,0.392129848429391
"B",0.18,0.395368264327452
"B",0.19,0.398615886816374
"B",0.2,0.401872455103085
"B",0.21,0.405137705305005
"B",0.22,0.408411370528727
"B",0.23,0.411693180950861
"B",0.24,0.414982863901006
"B",0.25,0.418280143946798
"B",0.26,0.421584742980973
"B",0.27,0.424896380310403
"B",0.28,0.428214772747046
"B",0.29,0.431539634700744
"B",0.3,0.434870678273818
"B",0.31,0.438207613357387
"B",0.32,0.441550147729356
"B",0.33,0.444897987153994
"B",0.34,0.448250835483041
"B",0.35,0.45160839475827
"B",0.36,0.454970365315424
"B",0.37,0.458336445889465
"B",0.38,0.461706333721046
"B",0.39,0.465079724664136
"B",0.4,0.468456313294712
"B",0.41,0.471835793020436
"B",0.42,0.475217856191244
"B",0.43,0.478602194210749
"B",0.44,0.481988497648378
"B",0.45,0.48537645635217
"B",0.46,0.488765759562116
"B",0.47,0.492156096023994
"B",0.48,0.495547154103578
"B",0.49,0.498938621901143
"B",0.5,0.502330187366184
"B",0.51,0.505721538412251
"B",0.52,0.509112363031808
"B",0.53,0.512502349411035
"B",0.54,0.515891186044476
"B",0.55,0.519278561849445
"B",0.56,0.52266416628011
"B",0.57,0.526047689441143
"B",0.58,0.529428822200878
"B",0.59,0.532807256303864
"B",0.6,0.536182684482742
